poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,hypothetical,party,answer,candidate_id,candidate_name,pct
88707,235,InsiderAdvantage,"","",InsiderAdvantage,243,InsiderAdvantage,2.0,-0.3,,5.0,Georgia,10/14/24,10/15/24,,"",,,,,212704,800,rv,,rv,,10/15/24 19:38,"",https://jamesmagazinega.com/2024/10/15/breaking-new-insideradvantage-poll-shows-trump-with-slight-lead-in-georgia/,https://jamesmagazinega.com/2024/10/15/breaking-new-insideradvantage-poll-shows-trump-with-slight-lead-in-georgia/,,,"",,,8781,2024,U.S. President,0,,11/5/24,general,false,false,,false,DEM,Harris,16661,Kamala Harris,47.0
88707,235,InsiderAdvantage,"","",InsiderAdvantage,243,InsiderAdvantage,2.0,-0.3,,5.0,Georgia,10/14/24,10/15/24,,"",,,,,212704,800,rv,,rv,,10/15/24 19:38,"",https://jamesmagazinega.com/2024/10/15/breaking-new-insideradvantage-poll-shows-trump-with-slight-lead-in-georgia/,https://jamesmagazinega.com/2024/10/15/breaking-new-insideradvantage-poll-shows-trump-with-slight-lead-in-georgia/,,,"",,,8781,2024,U.S. President,0,,11/5/24,general,false,false,,false,REP,Trump,16651,Donald Trump,49.0
88715,770,TIPP,"","",TIPP Insights,144,TIPP Insights,1.8,-0.4,Online Panel,3.0,,10/13/24,10/15/24,,"",,,,,212853,1248,lv,,lv,TRUE,10/16/24 09:34,"",https://tippinsights.com/tipp-tracking-poll-day-3-harris-widens-popular-vote-lead-while-trump-maintains-edge-in-electoral-projections/,https://tippinsights.com/tipp-tracking-poll-day-3-harris-widens-popular-vote-lead-while-trump-maintains-edge-in-electoral-projections/,,,"",,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,false,DEM,Harris,16661,Kamala Harris,50.0
88715,770,TIPP,"","",TIPP Insights,144,TIPP Insights,1.8,-0.4,Online Panel,3.0,,10/13/24,10/15/24,,"",,,,,212853,1248,lv,,lv,TRUE,10/16/24 09:34,"",https://tippinsights.com/tipp-tracking-poll-day-3-harris-widens-popular-vote-lead-while-trump-maintains-edge-in-electoral-projections/,https://tippinsights.com/tipp-tracking-poll-day-3-harris-widens-popular-vote-lead-while-trump-maintains-edge-in-electoral-projections/,,,"",,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,false,REP,Trump,16651,Donald Trump,46.0
88710,568,YouGov,352,Economist,YouGov,391,YouGov,3.0,-1.1,Online Panel,9.0,,10/12/24,10/15/24,,"",,,,,212851,1457,rv,,rv,,10/16/24 09:33,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,"",,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,false,DEM,Harris,16661,Kamala Harris,48.0
88710,568,YouGov,352,Economist,YouGov,391,YouGov,3.0,-1.1,Online Panel,9.0,,10/12/24,10/15/24,,"",,,,,212851,1457,rv,,rv,,10/16/24 09:33,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,"",,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,false,REP,Trump,16651,Donald Trump,45.0
88710,568,YouGov,352,Economist,YouGov,391,YouGov,3.0,-1.1,Online Panel,9.0,,10/12/24,10/15/24,,"",,,,,212851,1457,rv,,rv,,10/16/24 09:33,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,"",,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,false,GRE,Stein,31116,Jill Stein,1.0
88710,568,YouGov,352,Economist,YouGov,391,YouGov,3.0,-1.1,Online Panel,9.0,,10/12/24,10/15/24,,"",,,,,212851,1457,rv,,rv,,10/16/24 09:33,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,"",,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,false,IND,West,31097,Cornel West,1.0
88710,568,YouGov,352,Economist,YouGov,391,YouGov,3.0,-1.1,Online Panel,9.0,,10/12/24,10/15/24,,"",,,,,212852,1314,lv,,lv,,10/16/24 09:34,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,"",,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,false,DEM,Harris,16661,Kamala Harris,49.0
88710,568,YouGov,352,Economist,YouGov,391,YouGov,3.0,-1.1,Online Panel,9.0,,10/12/24,10/15/24,,"",,,,,212852,1314,lv,,lv,,10/16/24 09:34,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,"",,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,false,REP,Trump,16651,Donald Trump,45.0
